店名,ランチ価格(円),料理区分,カロリー,味濃い,見た目,ゆっくり座れる,好き
ごんべえ,600,うどん,430,3,3,3,0
subway,450,サンドイッチ,350,1,3,2,1
天丼てんや,550,天麩羅,640,3,2,2,0
四川料理 本格熊猫,850,中国,900,5,1,5,0
やよい軒,650,定食,700,2,2,3,0
どんぴしゃり,780,肉,800,4,4,1,1
ターリー屋,750,カレー,800,4,2,4,0
1+Dumpling,800,中国,700,4,1,3,0
麺爺あぶら,500,油そば,600,4,3,1,0
武蔵野あぶら学会,700,油そば,600,4,4,1,1
図星はなれ,850,油そば,600,4,3,1,0
波風タテヲ,790,まぜそば,800,4,2,1,0
渡なべ,880,ラーメン,600,3,4,1,1
麺屋こころ,850,まぜそば,600,4,3,1,1
蔭山,880,ラーメン,500,2,4,2,1
焼麺劔,800,ラーメン,650,3,4,1,0
ティーヌン,800,タイ,800,3,3,3,1
十二分屋,900,ラーメン,550,2,3,2,0
うどん蔵之介,700,うどん,430,2,4,3,1
らぁ麺やまぐち,800,ラーメン,550,3,5,1,1
末廣ラーメン本舗,700,ラーメン,600,4,2,1,1
揚げ太郎,700,とんかつ,900,3,3,3,1
肉ドレス酒場,1600,肉,900,3,5,3,1
天麩羅 えびのや,900,天麩羅,640,3,4,3,0
レッドロック,1000,肉,900,3,4,4,1
とんかつ ひなた,1500,とんかつ,900,3,5,3,1